actor_id,name
1,50 Cent
2,A Martinez
3,A. Michael Baldwin
4,Aaron Eckhart
5,Aaron Paul
6,Aaron Stanford
7,Abbie Cornish
8,Abby Dalton
9,Abhay Deol
10,Abraham Sofaer
11,Adam Baldwin
12,Adam Beach
13,Adam Hann-Byrd
14,Adam Lavorgna
15,Adam Roarke
16,Adam Sandler
17,Adam Storke
18,Adam Trese
19,Adam West
20,Addison Richards
21,Adele Mara
22,Aden Young
23,Adewale Akinnuoye-Agbaje
24,Adolfo Celi
25,Adolphe Menjou
26,Adrian Dunbar
27,Adrian Pasdar
28,Adrian Zmed
29,Adrien Brody
30,Adrienne Barbeau
31,Adrienne Corri
32,Adrienne King
33,Adrienne Shelly
34,Agatha Hurle
35,Agathe Natanson
36,Agga Olsen
37,Agnes Bruckner
38,Agnes Moorehead
39,Aidan Gould
40,Aidan Quinn
41,Aitana Sánchez-Gijón
42,Akbar Kurtha
43,Ake Nyman
44,Akiko Wakabayashi
45,Akim Tamiroff
46,Akosua Busia
47,Aksel Hennie
48,Al Freeman Jr.
49,Al Jolson
50,Al Pacino
51,Alain Delon
52,Alan Alda
53,Alan Arkin
54,Alan Badel
55,Alan Bates
56,Alan Baxter
57,Alan Cox
58,Alan Cumming
59,Alan Curtis
60,Alan David
61,Alan Fisler
62,Alan Hale
63,Alan King
64,Alan Ladd
65,Alan Marshall
66,Alan Mowbray
67,Alan Napier
68,Alan Randolph Scott
69,Alan Rickman
70,Alan Ruck
71,Alan Webb
72,Alan Young
73,Alastair Sim
74,Albert Brooks
75,Albert Dekker
76,Albert Finney
77,Albert Hall
78,Alberta Watson
79,Alberto De Mendoza
80,Alberto Morin
81,Aldo Giuffrè
82,Aldo Ray
83,Alec Baldwin
84,Alec Cawthorne
85,Alec Clunes
86,Alec Guinness
87,Alec McCowen
88,Alex D. Linz
89,Alex Daniels
90,Alex Haw
91,Alex Hyde-White
92,Alex McArthur
93,Alex Scott
94,Alex Vincent
95,Alexa Davalos
96,Alexa Vega
97,Alexander Fehling
98,Alexander Godunov
99,Alexander Goodwin
100,Alexander Knox
101,Alexander Morton
102,Alexandra Holden
103,Alexia Keogh
104,Alexis Arquette
105,Alexis Cruz
106,Alexis Smith
107,Alexis Zegerman
108,Alfred Molina
109,Alfred Ryder
110,Ali MacGraw
111,Alice Cooper
112,Alice Krige
113,Alicia Silverstone
114,Alicia Witt
115,Alida Valli
116,Aline MacMahon
117,Alisan Porter
118,Alison Doody
119,Alison Eastwood
120,Alison Folland
121,Alison Leggatt
122,Alison Routledge
123,Alison Selford
124,Alison Whelan
125,Allan Jones
126,Allan Melvin
127,Allen Covert
128,Allen Danziger
129,Allen Garfield
130,Allen Jenkins
131,Allen Payne
132,Allison Balson
133,Allison Janney
134,Ally Sheedy
135,Ally Walker
136,Alphonsia Emmanuel
137,Alun Armstrong
138,Alyson Hannigan
139,Alyson Reed
140,Amanda Barrie
141,Amanda Bearse
142,Amanda Bynes
143,Amanda Plummer
144,Amanda Wyss
145,Amber Heard
146,Amber Smith
147,Amber Tamblyn
148,Amrish Puri
149,Amy Adams
150,Amy Brenneman
151,Amy Ingersoll
152,Amy Irving
153,Amy Locane
154,Amy Madigan
155,Amy Robinson
156,Amy Steel
157,Amy Veness
158,Amy Yasbeck
159,Anamaria Marinca
160,Anatoli Davydov
161,Anders Baasmo Christiansen
162,Andersen Gabrych
163,Andie MacDowell
164,Andre Braugher
165,Andre Gregory
166,Andrea Eckert
167,Andrea Marcovicci
168,Andrea Occhipinti
169,Andrea Riseborough
170,Andrea Roth
171,Andrew Cruickshank
172,Andrew Divoff
173,Andrew Duggan
174,Andrew Garfield
175,Andrew Knott
176,Andrew Lauer
177,Andrew McCarthy
178,Andrew Prine
179,Andrew Robinson
180,Andrew Sachs
181,Andrew Stevens
182,Andrzej Seweryn
183,André Morell
184,Andy Dick
185,Andy Garcia
186,Andy Griffith
187,Andy J. Forest
188,Andy Romano
189,Aneta Corsaut
190,Angela Bassett
191,Angela Douglas
192,Angela Featherstone
193,Angela Goethals
194,Angela Lansbury
195,Angelina Jolie
196,Angeline Ball
197,Angelo Rossito
198,Angie Brown
199,Angie Dickinson
200,Angie Everhart
201,Anicée Alvina
202,Anita Briem
203,Anita Ekberg
204,Anjelica Huston
205,Ann Blyth
206,Ann Carter
207,Ann Doran
208,Ann Dvorak
209,Ann Hearn
210,Ann Miller
211,Ann Prentiss
212,Ann Richards
213,Ann Savage
214,Ann Shirley
215,Ann Todd
216,Ann Wedgeworth
217,Ann-Margret
218,Anna Anissimova
219,Anna Chlumsky
220,Anna Friel
221,Anna Karen
222,Anna Karina
223,Anna Massey
224,Anna May Wong
225,Anna Palk
226,Anna Paquin
227,Anna Proclemer
228,Anna-Maria Monticelli
229,Annabella Sciorra
230,Annabeth Gish
231,Anne Archer
232,Anne Bancroft
233,Anne Baxter
234,Anne Brochet
235,Anne Christianson
236,Anne Francis
237,Anne Grey
238,Anne Gwynne
239,Anne Heche
240,Anne Meara
241,Anne Ramsey
242,Anne Revere
243,Anne Suzuki
244,Anne Tenney
245,Anne-Louise Lambert
246,Anne-Marie Kennedy
247,Annette Bening
248,Annette O'Toole
249,Annette O`Toole
250,Annette Woska
251,Annie Corley
252,Annie Golden
253,Annie McEnroe
254,Annie Packert
255,Annie Potts
256,Annie Ross
257,Anny Duperey
258,Anny Ondra
259,Anson Mount
260,Anthony Barrile
261,Anthony Edwards
262,Anthony Fauci
263,Anthony Franciosa
264,Anthony Geary
265,Anthony Heald
266,Anthony Higgins
267,Anthony Hopkins
268,Anthony LaPaglia
269,Anthony Michael Hall
270,Anthony Perkins
271,Anthony Quayle
272,Anthony Quinn
273,Anthony Ross
274,Anthony Simcoe
275,Anthony Zerbe
276,Anton Rodgers
277,Antonio Banderas
278,Antonio Mendoza
279,Antonio Moreno
280,Anya Ormsby
281,Anzac Wallace
282,Apollonia Kotero
283,April Grace
284,Aran Bell
285,Ariane
286,Arielle Kebbel
287,Arleen Whelan
288,Arlene Dahl
289,Arlene Francis
290,Arlo Guthrie
291,Armand Assante
292,Armin Mueller-Stahl
293,Arnold Lucy
294,Arnold Schwarzenegger
295,Arnold Vosloo
296,Arsenio Hall
297,Arsinée Khanjian
298,Art Evans
299,Art Garfunkel (as Arthur Garfunkel)
300,Art LaFleur
301,Art Metrano
302,Arte Johnson
303,Arthur Askey
304,Arthur Chesney
305,Arthur Hill
306,Arthur Hunnicutt
307,Arthur Kennedy
308,Arthur Lake
309,Arthur O'Connell
310,Artie Lange
311,Arturo de Córdova
312,Arye Gross
313,Ash Adams
314,Ashley Greene
315,Ashley Judd
316,Ashley Laurence
317,Ashley Olsen
318,Ashley Peldon
319,Aude Landry
320,Audie Murphy
321,Audra Lindley
322,Audra McDonald
323,Audrey Dalton
324,Audrey Hepburn
325,Audrey Meadows
326,Audrey Totter
327,August Diehl
328,August Schellenberg
329,Augustus Philips
330,Aure Atika
331,Austin Nagler
332,Austin O'Brien
333,Austin Pendleton
334,Ava Gardner
335,Avery Brooks
336,Aya Takanashi
337,B.D. Wong
338,Barbara Bach
339,Barbara Baxley
340,Barbara Bel Geddes
341,Barbara Bosson
342,Barbara Carrera
343,Barbara Crampton
344,Barbara Eden
345,Barbara Feldon
346,Barbara Gordon
347,Barbara Hale
348,Barbara Harris
349,Barbara Hershey
350,Barbara Lindsay
351,Barbara O'Neil
352,Barbara Parkins
353,Barbara Payton
354,Barbara Rush
355,Barbara Shelley
356,Barbara Stanwyck
357,Barbara Sukowa
358,Barbara Tyson
359,Barbara Windsor
360,Barbra Streisand
361,Barnard Hughes
362,Barney
363,Barney Clark
364,Barret Oliver
365,Barry Bostwick
366,Barry Brown
367,Barry Corbin
368,Barry Dennen
369,Barry Fitzgerald
370,Barry Foster
371,Barry Gibb
372,Barry Miller
373,Barry Newman
374,Barry Pepper
375,Barry Primus
376,Bart Burns
377,Barton Heyman
378,Basil Rathbone
379,Basil Sydney
380,Basil Wallace
381,Beatrice Kay
382,Beatrice Pearson
383,Beatrice Straight
384,Beau Bridges
385,Bebe Daniels
386,Bebe Neuwirth
387,Bee Duffell
388,Bel Deliá
389,Bela Lugosi
390,Belinda Bauer
391,Bella Randles
392,Ben Affleck
393,Ben Chaplin
394,Ben Cross
395,Ben Duncan
396,Ben Foster
397,Ben Gazzara
398,Ben Johnson
399,Ben Kingsley
400,Ben Mendelsohn
401,Ben Stiller
402,Benicio Del Toro
403,Benjamin Bratt
404,Benjamin Green
405,Benjamin Hendrickson
406,Bennett Ohta
407,Benno Fürmann
408,Berj Fazalian
409,Bernadette Peters
410,Bernard Cribbins
411,Bernard Fresson
412,Bernard Hill
413,Bernard Lee
414,Bernard Miles
415,Bernie Casey
416,Bernie Coulson
417,Berry Berenson
418,Berry Kroeger
419,Bert Freed
420,Bert Lahr
421,Bert Palmer
422,Bert Remsen
423,Bertrand Bonvoisin
424,Bess Armstrong
